"ORF","myStddev","myMean","myCV"
"YKR009C",2.18627725048802,10.048748162891,0.217567125282502
"YDL157C",0.656609245444108,9.22184128319281,0.0712015339757371
"YER059W",0.127078679378204,6.97284817991125,0.0182247879344795
"YGL059W",0.702585699590157,7.69994223149889,0.091245580611764
"YDR481C",0.97342836320143,9.35713423670656,0.104030607937933
"YML113W",0.697512766892821,6.03658358599046,0.115547603533825
"YIL157C",0.396734093672272,8.99045863750896,0.0441283486936989
"YPR003C",0.460439028791832,5.80637906673714,0.0792988235007833
"YNR074C",0.41744304729053,7.68486405207487,0.0543201603127674
"YLR154C-H",1.48493823701306,5.16434568215366,0.287536568697277
"YKL012W",0.435660293998516,8.18421368740211,0.0532317838510405
"YJL147C",0.565675340182996,5.95241799428313,0.0950328657574596
"YDL216C",1.03124329778079,7.14591402118493,0.144312301368803
"YNL320W",0.464232619437901,7.04154573960517,0.0659276580178731
"YHL007C",0.52463641767535,7.82831646987435,0.0670177834141356
"YPL223C",2.4474266665988,6.56922477634342,0.372559434320513
"YKL138C",0.645824316041383,9.450302758382,0.0683390080247498
"YNL126W",0.128961081305183,6.14097544408133,0.0210000972124837
"YKL055C",0.85711780178421,5.66744049428703,0.151235430287837
"YML035C",0.361171218073452,7.78826294948143,0.0463737832705687
"YER087C-B",0.519899479197834,9.85141315983567,0.0527741016200062
"YIL160C",3.9859760108772,9.0444708394715,0.440708592202185
"YLR050C",0.759283735940819,8.43038218545532,0.09006516184412
"YOR037W",0.335023190099494,7.33550731247139,0.0456714410917303
"YOL008W",0.263840528865856,7.48798503331097,0.03523518379005
"YOR072W-B",2.47661640737848,10.1941538667989,0.242944774008614
"YPL253C",0.47654228867497,5.47125938090722,0.0870991951757827
"YDL048C",1.18968201492429,7.5216337473214,0.15816803302181
"YDR056C",0.0970977991212971,9.66843973281915,0.0100427578600612
"YNL083W",0.542494275651613,6.44858272207777,0.0841261249226587
"YCR081W",0.186448686820218,5.43164686600464,0.0343263638855381
"YDL159W",0.558445200742561,7.16146847499767,0.0779791466920816
"YCR024C-B",0.282093970082733,11.2911204504205,0.0249837003618385
"YPL154C",0.680916562270619,11.5855095466188,0.058773121676754
"YDR020C",0.720218170153038,6.43492187581776,0.11192337437065
"YOR290C",0.375290293681066,7.2240574136033,0.0519500707420145
"YGR267C",0.328271602083725,10.9229556365432,0.0300533676970617
"YNL216W",0.227763479590537,7.75598039987308,0.0293661752412711
"YFL034C-B",0.41730028342157,7.58634125515952,0.0550067904126725
"YEL031W",0.586972149920994,9.25890847887741,0.0633953938803984
"YBR238C",1.31802456650276,6.4701830381199,0.203707462174941
"YFL045C",1.17465838767519,10.5278005881054,0.11157680826538
"YGL222C",1.20281191704588,8.29785045978045,0.144954638900266
"YIR021W",1.05863194965628,7.99032710767241,0.132489187913191
"YHR014W",0.131290885280959,2.76127733182334,0.0475471564438131
"YEL006W",0.63096149737102,8.62803445646748,0.0731292278159666
"YDL029W",0.264507029711015,9.91250740907994,0.0266841696853335
"YLR401C",0.595464724027069,7.03856652466957,0.0846002835861558
"YDR447C",0.463463811986276,11.7327674047362,0.0395016619692969
"YOR192C-C",0.461135711797234,7.401498583884,0.0623030196616276
"YER026C",0.482243716377314,9.93695137206825,0.0485303488283994
"YLR287C-A",0.414942476795921,12.4400977999788,0.0333552423355247
"YKL195W",0.425862957358548,9.48095827874602,0.0449177124123864
"YDR144C",1.32140303140333,7.0301395165544,0.187962561524096
"YDR439W",0.177023778274672,7.29950238809295,0.0242514857675005
"YBR149W",0.556531632740302,10.4355712035262,0.0533302511080803
"YER114C",0.311591520749918,6.48468216273515,0.0480503921287783
"YMR247C",0.482419479312657,7.76554348498615,0.0621230800194943
"YMR076C",0.562829367375724,8.31433236458086,0.0676938739872107
"YGR056W",0.14509476478724,7.68037742116698,0.0188916191003011
"YAL013W",0.47157063562745,8.54624730359829,0.055178678883877
"YPR002W",2.76594503580934,8.54781186210513,0.323585156111304
"YOR175C",0.169858937863957,7.88134414596565,0.0215520264967627
"YDL167C",0.996195589524953,6.44657464133801,0.154530994357368
"YDR465C",1.78891372212039,6.82971164841035,0.261931076187788
"YJL201W",0.371469235201876,6.94008803925883,0.0535251473901399
"YDR495C",0.28766001081465,6.96911124606614,0.0412764268868611
"YDR501W",0.761519205474003,4.44285150162431,0.171403254237868
"YHL010C",0.484405845403522,6.56872343191248,0.0737442899559691
"YHR152W",0.312449596408238,8.00795010792035,0.0390174254581339
"YER035W",1.53587057673476,9.08724197782914,0.169013940696412
"YHR002W",1.28708165600249,8.13123911204728,0.158288501699027
"YPL020C",0.278457032703749,9.19161439758692,0.0302946817239039
"YLR286C",1.10383511926286,7.93573988884205,0.139096685970629
"YKL061W",0.69568718195978,7.29654547301829,0.0953447332758144
"YHR131C",0.368441943506266,6.46822616193168,0.0569618214147654
"YJL185C",2.39702560789398,5.91292590569451,0.4053873913058
"YMR317W",0.363379471228757,3.55166777369245,0.102312348559272
"YIL125W",0.902612588165696,9.36028190106743,0.096430064575594
"YPL065W",0.483290140863502,9.00084979125832,0.0536938347013496
"YGR130C",0.833591379005164,9.22588540853197,0.0903535370420133
"YDL049C",0.191072499301052,7.60037290953622,0.0251398847892466
"YBR065C",0.723587898372895,5.94546991715366,0.121704071916204
"YMR182C",0.568257423677111,5.32812912562422,0.106652337111018
"YPL264C",0.767515810299101,5.96915043530554,0.128580409995952
"YPL199C",0.366545776066359,9.54770983585938,0.0383909631071613
"YGR080W",0.367824498659738,7.77036858821071,0.0473368147835104
